name,description,position,base_price,duration_in_days,is_active
"Doctor Profile Highlight","Featured placement of doctor profile in search results","SEARCH_TOP",500.00,30,true
"Hospital Banner","Large banner ad on specialty pages","PAGE_TOP",1200.00,60,true
"Clinic Listing Promo","Promoted clinic listing in directory","DIRECTORY_SIDEBAR",300.00,30,true
"Medical Institute Spotlight","Featured institution profile on homepage","HOME_MIDDLE",2000.00,90,true
"Doctor Video Ad","Short video profile in relevant specialty sections","VIDEO_SLOT",800.00,30,true
"Emergency Service Badge","Highlighted emergency service tag on listings","BADGE",150.00,365,true
"Medical Equipment Promo","Featured medical equipment advertisement","EQUIPMENT_SECTION",750.00,60,true
"Conference Sponsor","Conference/event sponsorship placement","EVENT_BANNER",3000.00,90,true
"New Hospital Announcement","Special announcement for new facilities","ANNOUNCEMENT_BAR",450.00,14,true
"Specialty Doctor Carousel","Rotating featured doctors in specialty pages","CAROUSEL",950.00,30,true
