id,name,bn_name,description,address,website_url,facebook_url,twitter_url,linkedin_url,youtube_url,email,phone,origin_country,created_by,created_at,updated_by,updated_at,organization_type
1,BRAC,ব্র্যাক,"বিশ্বের বৃহত্তম এনজিওগুলোর মধ্যে একটি, যা জনস্বাস্থ্যসহ বিভিন্ন খাতে কাজ করে।","BRAC Centre, 75 Mohakhali, Dhaka-1212",https://www.brac.net,https://www.facebook.com/BRACWorld/,https://twitter.com/BRACworld,https://www.linkedin.com/company/brac/,https://www.youtube.com/user/brac,info@brac.net,"+8802222281265",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
2,"icddr,b",আইসিডিডিআরবি,"সংক্রামক রোগ, মাতৃস্বাস্থ্য এবং পুষ্টির মতো ক্ষেত্রে জনস্বাস্থ্য গবেষণার উপর দৃষ্টি নিবদ্ধ করা গবেষণা সংস্থা।","GPO Box 128, Dhaka 1000",https://www.icddrb.org,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RI
3,Marie Stopes Bangladesh,মেরি স্টোপস বাংলাদেশ,"পরিবার পরিকল্পনা এবং মাতৃস্বাস্থ্য সহ যৌন ও প্রজনন স্বাস্থ্য পরিষেবা সরবরাহ করে।","বাড়ি ৬/২, ব্লক এফ, লালমাটিয়া হাউজিং এস্টেট, ঢাকা ১২০৭",https://www.mariestopes-bd.org,https://www.facebook.com/MarieStopesBD/,null,null,null,info@mariestopes-bd.org,"+88029116671",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
4,Gonoshasthaya Kendra,গণস্বাস্থ্য কেন্দ্র,"গ্রামীণ ও সুবিধাবঞ্চিত সম্প্রদায়ের জন্য সাশ্রয়ী মূল্যের স্বাস্থ্যসেবা সরবরাহকারী জনস্বাস্থ্য সংস্থা।","Mirzanagar, Ashulia, Savar, Dhaka - 1344",http://www.gonoshasthayakendra.com,http://www.facebook.com/gksavar,http://twitter.com/gksavarHQ,null,null,infogkhq@gmail.com,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
5,Bangladesh Red Crescent Society,বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি,"দুর্যোগ ব্যবস্থাপনা, স্বাস্থ্য পরিষেবা এবং কমিউনিটি উন্নয়নে কাজ করে।","৬৮৪-৬৮৬, রেড ক্রিসেন্ট সরণি, বড় মগবাজার, ঢাকা ১২১৭",https://www.bdrcs.org,https://www.facebook.com/bdrcs/,https://twitter.com/bdrcs,null,null,info@bdrcs.org,"(880) (2) 48310188 / 48310189",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
6,Friendship,ফ্রেন্ডশিপ,"দূরবর্তী সম্প্রদায়গুলিতে স্বাস্থ্য পরিষেবা এবং শিক্ষা প্রদানকারী এনজিও। ভাসমান হাসপাতাল পরিচালনা করে।","Ka-14/2A, Baridhara North Road (Kalachadpur), Dhaka – 1212",https://friendship.ngo,https://www.facebook.com/FriendshipNGO/,https://twitter.com/Friendship_NGO,https://www.linkedin.com/company/friendship-ngo/,https://www.youtube.com/user/FriendshipNGO,info@friendship.ngo,"+88 02 8417733-39",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
7,Naripokkho,নারীপক্ষ,"নারী অধিকার ও স্বাস্থ্যের উপর দৃষ্টি নিবদ্ধ করে নারী অধিকার কর্মী সংগঠন।","১৮/৩ তোপখানা রোড, ঢাকা ১০০০",http://www.naripokkho.org,null,null,null,null,naripokkho@gmail.com,"+88029562723",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",AG
8,CARE Bangladesh,কেয়ার বাংলাদেশ,"মাতৃস্বাস্থ্য এবং এইচআইভি/এইডস প্রতিরোধ সহ জনস্বাস্থ্য বিষয়ে কাজ করে।","RAOWA Complex (Level 7-9), VIP Road Mohakhali, Dhaka -1206",https://www.carebangladesh.org,https://www.facebook.com/CAREinBangladesh/,https://twitter.com/CAREinBD,https://www.linkedin.com/company/care-bangladesh/,null,bgd.info@care.org,"+88 02 5505 8377-83",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",INGO
9,Ashar Alo Society,আশার আলো সোসাইটি,"যত্ন, সহায়তা এবং সচেতনতামূলক কর্মসূচী প্রদানের মাধ্যমে এইচআইভি/এইডস আক্রান্ত ব্যক্তিদের জীবনমানের উন্নতি ঘটায়।","বাড়ি ১৮/১, ব্লক বি, লালমাটিয়া, ঢাকা ১২০৭",http://www.asharalo.org,null,null,null,null,asharalo@gmail.com,"+88029124976",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
10,Hope Foundation for Women and Children of Bangladesh,হোপ ফাউন্ডেশন ফর উইমেন এন্ড চিলড্রেন অফ বাংলাদেশ,"মাতৃ ও শিশু স্বাস্থ্যের উপর দৃষ্টি নিবদ্ধ করে সুবিধাবঞ্চিত সম্প্রদায়ের জন্য স্বাস্থ্যসেবা প্রদান করে।","বাড়ি ৪৮, রোড ১০এ, ধানমন্ডি, ঢাকা ১২০৯",http://www.hopeforbangladesh.org,https://www.facebook.com/HopeFoundationBangladesh/,null,https://www.linkedin.com/company/hopeforbangladesh/,null,hopefoundation.usoffice@gmail.com,"+888.846.8235",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",NGO
